SCI	STATEFP	COUNTYFP	NAME	STABBREV	STATE	COUNTYNS	GEOID	COMMON	Common_group	Common_specific	Common_alt	Genus	Species	Subspecies
Abronia macrocarpa	48	395	Robertson	TX	Texas	1383983	48395	Sand-verbena, large-fruited	Sand-verbena	large-fruited		Abronia	macrocarpa	
Abronia macrocarpa	48	289	Leon	TX	Texas	1383930	48289	Sand-verbena, large-fruited	Sand-verbena	large-fruited		Abronia	macrocarpa	
Abutilon eremitopetalum	15	009	Maui	HI	Hawaii	365283	15009	No Common Name	No Common Name			Abutilon	eremitopetalum	
Abutilon menziesii	15	001	Hawaii	HI	Hawaii	365280	15001	Ko`oloa`ula	Ko`oloa`ula			Abutilon	menziesii	
Abutilon menziesii	15	003	Honolulu	HI	Hawaii	365281	15003	Ko`oloa`ula	Ko`oloa`ula			Abutilon	menziesii	
Abutilon menziesii	15	009	Maui	HI	Hawaii	365283	15009	Ko`oloa`ula	Ko`oloa`ula			Abutilon	menziesii	
Abutilon sandwicense	15	003	Honolulu	HI	Hawaii	365281	15003	No Common Name	No Common Name			Abutilon	sandwicense	
Acaena exigua	15	007	Kauai	HI	Hawaii	365282	15007	Liliwai	Liliwai			Acaena	exigua	
Acaena exigua	15	009	Maui	HI	Hawaii	365283	15009	Liliwai	Liliwai			Acaena	exigua	
Acanthomintha ilicifolia	06	073	San Diego	CA	California	277301	06073	Thornmint, San Diego	Thornmint	San Diego		Acanthomintha	ilicifolia	
Acanthomintha obovata ssp. duttonii	06	019	Fresno	CA	California	277274	06019	Thornmint, San Mateo	Thornmint	San Mateo		Acanthomintha	obovata	ssp. duttonii
Acanthomintha obovata ssp. duttonii	06	031	Kings	CA	California	277280	06031	Thornmint, San Mateo	Thornmint	San Mateo		Acanthomintha	obovata	ssp. duttonii
Acanthomintha obovata ssp. duttonii	06	029	Kern	CA	California	2054176	06029	Thornmint, San Mateo	Thornmint	San Mateo		Acanthomintha	obovata	ssp. duttonii
Acanthomintha obovata ssp. duttonii	06	079	San Luis Obispo	CA	California	277304	06079	Thornmint, San Mateo	Thornmint	San Mateo		Acanthomintha	obovata	ssp. duttonii
Achatinella spp.	15	003	Honolulu	HI	Hawaii	365281	15003	Snails, Oahu tree	Snails	Oahu tree		Achatinella	spp.	
Achyranthes mutica	15	007	Kauai	HI	Hawaii	365282	15007	No Common Name	No Common Name			Achyranthes	mutica	
Achyranthes mutica	15	001	Hawaii	HI	Hawaii	365280	15001	No Common Name	No Common Name			Achyranthes	mutica	
Achyranthes splendens var. rotundata	15	003	Honolulu	HI	Hawaii	365281	15003	Chaff-flower, round-leaved	Chaff-flower	round-leaved		Achyranthes	splendens	var. rotundata
Achyranthes splendens var. rotundata	15	009	Maui	HI	Hawaii	365283	15009	Chaff-flower, round-leaved	Chaff-flower	round-leaved		Achyranthes	splendens	var. rotundata
Acipenser brevirostrum	45	011	Barnwell	SC	South Carolina	1247983	45011	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	37	129	New Hanover	NC	North Carolina	1026329	37129	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	37	055	Dare	NC	North Carolina	1026133	37055	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	005	Allendale	SC	South Carolina	1247980	45005	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	031	Bulloch	GA	Georgia	350302	13031	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	035	Dorchester	SC	South Carolina	1247998	45035	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	063	Lexington	SC	South Carolina	1244251	45063	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	029	Bryan	GA	Georgia	350496	13029	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	049	Hampton	SC	South Carolina	1248004	45049	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	279	Toombs	GA	Georgia	345220	13279	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	075	Orangeburg	SC	South Carolina	1248014	45075	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	029	Colleton	SC	South Carolina	1247991	45029	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	37	053	Currituck	NC	North Carolina	1026125	37053	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	37	133	Onslow	NC	North Carolina	1026341	37133	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	085	Sumter	SC	South Carolina	1244717	45085	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	42	017	Bucks	PA	Pennsylvania	1209173	42017	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	37	007	Anson	NC	North Carolina	1008534	37007	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	069	Coffee	GA	Georgia	347456	13069	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	025	Chesterfield	SC	South Carolina	1247989	45025	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	069	Marlboro	SC	South Carolina	1248011	45069	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	309	Wheeler	GA	Georgia	351278	13309	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	42	095	Northampton	PA	Pennsylvania	1209185	42095	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	003	Aiken	SC	South Carolina	1247979	45003	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	305	Wayne	GA	Georgia	350608	13305	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	251	Screven	GA	Georgia	350204	13251	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	033	Burke	GA	Georgia	347944	13033	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	37	137	Pamlico	NC	North Carolina	1023355	37137	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	271	Telfair	GA	Georgia	356958	13271	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	183	Long	GA	Georgia	326719	13183	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	315	Wilcox	GA	Georgia	345499	13315	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	089	Williamsburg	SC	South Carolina	1248018	45089	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	067	Marion	SC	South Carolina	1248010	45067	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	37	029	Camden	NC	North Carolina	1026335	37029	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	37	031	Carteret	NC	North Carolina	1026337	37031	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	001	Appling	GA	Georgia	349113	13001	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	161	Jeff Davis	GA	Georgia	1687999	13161	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	191	McIntosh	GA	Georgia	356886	13191	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	13	245	Richmond	GA	Georgia	358024	13245	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	37	019	Brunswick	NC	North Carolina	1026340	37019	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
Acipenser brevirostrum	45	051	Horry	SC	South Carolina	1248005	45051	Sturgeon, shortnose	Sturgeon	shortnose		Acipenser	brevirostrum	
